	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369	 b: 118.47956785790582	 b: -1011.8903775139622	 b: -1447.4676351207006	 b: 98.2803430280465
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516	 b: 154.84786523026216	 b: -49.36857203894169	 b: -7.228125858332987	 b: 24.65309610278635
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441	 b: 120.89175084688864	 b: 177.20719016083262	 b: -1335.1246070741904	 b: 4.207159642323063
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698	 b: 115.87694936979278	 b: -24.2354808191169	 b: -1218.7187108981598	 b: -95.8896450697348
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245	 b: 83.53709524826807	 b: -1263.3157750175483	 b: 339.8164006469924	 b: 0.8711203344828675
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525	 b: 128.73378704184086	 b: -343.6902981658375	 b: 1301.771294289987	 b: 58.74007385479294
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209	 b: 126.55598620563372	 b: -1390.2095400860621	 b: 1072.8333994567706	 b: -65.42777794732505
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503	 b: 31.63609729300821	 b: 1480.4430066835534	 b: 579.8090762047182	 b: 121.83574938200019
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878	 b: 125.94561601611377	 b: 184.57704397717225	 b: 1141.335245826594	 b: -126.56245612964263
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578	 b: 176.2694174016541	 b: -530.5822321237831	 b: -1439.9088106936856	 b: 61.88860744041261
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223	 b: 148.9394817957091	 b: -691.4907071138646	 b: 934.7903683584095	 b: -92.29578539384136
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283	 b: 100.94973601489303	 b: 319.7855159154026	 b: 204.04101687673574	 b: -61.63078707235938
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937	 b: 152.9581591235084	 b: 317.8013245033112	 b: -489.3866389965515	 b: -1.0898770104068092
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058	 b: 179.27243873409222	 b: 946.412060914945	 b: 129.1141697439498	 b: 48.06006042664876
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063	 b: 116.8535416730247	 b: -1020.9609668263802	 b: -644.6259956663716	 b: 114.59334086123235
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838	 b: 42.13446455275124	 b: 1490.7419049653613	 b: 659.1767326883755	 b: 72.99832148197882
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522	 b: 72.06701864680929	 b: -117.20902127140107	 b: 718.9859309671315	 b: -26.8797265541551
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478	 b: 131.2045655690176	 b: -160.01086458937357	 b: 737.1271095919674	 b: -63.826166570024725
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695	 b: 100.04150517288736	 b: -1249.8988616595966	 b: -773.4094668416394	 b: 4.4024781029694395
	 r: 0.5646229438154241	 g: 0.6811426129947813	 b: 0.023316141239661855	 b: 93.83037812433241	 b: 257.89764091921757	 b: 758.480788598285	 b: -123.35142063661611
done
