time: 50434 	 iteration: 1 	 array size: 1000 
time: 44880 	 iteration: 2 	 array size: 1000 
time: 56298 	 iteration: 3 	 array size: 1000 
time: 39463 	 iteration: 4 	 array size: 1000 
time: 44435 	 iteration: 5 	 array size: 1000 
time: 37224 	 iteration: 6 	 array size: 1000 
time: 36758 	 iteration: 7 	 array size: 1000 
time: 52807 	 iteration: 8 	 array size: 1000 
time: 40686 	 iteration: 9 	 array size: 1000 
time: 50314 	 iteration: 10 	 array size: 1000 
time: 41887 	 iteration: 11 	 array size: 1000 
time: 37440 	 iteration: 12 	 array size: 1000 
time: 45885 	 iteration: 13 	 array size: 1000 
time: 37531 	 iteration: 14 	 array size: 1000 
time: 52518 	 iteration: 15 	 array size: 1000 
time: 40979 	 iteration: 16 	 array size: 1000 
time: 36549 	 iteration: 17 	 array size: 1000 
time: 54799 	 iteration: 18 	 array size: 1000 
time: 42449 	 iteration: 19 	 array size: 1000 
time: 47600 	 iteration: 20 	 array size: 1000 
time: 41042 	 iteration: 21 	 array size: 1000 
time: 47562 	 iteration: 22 	 array size: 1000 
time: 43795 	 iteration: 23 	 array size: 1000 
time: 41681 	 iteration: 24 	 array size: 1000 
time: 43956 	 iteration: 25 	 array size: 1000 
time: 36911 	 iteration: 26 	 array size: 1000 
time: 45401 	 iteration: 27 	 array size: 1000 
time: 55329 	 iteration: 28 	 array size: 1000 
time: 36638 	 iteration: 29 	 array size: 1000 
time: 43401 	 iteration: 30 	 array size: 1000 
time: 46654 	 iteration: 1 	 array size: 100000 
time: 40224 	 iteration: 2 	 array size: 100000 
time: 51585 	 iteration: 3 	 array size: 100000 
time: 38928 	 iteration: 4 	 array size: 100000 
time: 43473 	 iteration: 5 	 array size: 100000 
time: 43695 	 iteration: 6 	 array size: 100000 
time: 36972 	 iteration: 7 	 array size: 100000 
time: 54709 	 iteration: 8 	 array size: 100000 
time: 36928 	 iteration: 9 	 array size: 100000 
time: 43411 	 iteration: 10 	 array size: 100000 
time: 46488 	 iteration: 11 	 array size: 100000 
time: 36778 	 iteration: 12 	 array size: 100000 
time: 55054 	 iteration: 13 	 array size: 100000 
time: 37446 	 iteration: 14 	 array size: 100000 
time: 47785 	 iteration: 15 	 array size: 100000 
time: 48351 	 iteration: 16 	 array size: 100000 
time: 36915 	 iteration: 17 	 array size: 100000 
time: 52329 	 iteration: 18 	 array size: 100000 
time: 36394 	 iteration: 19 	 array size: 100000 
time: 36709 	 iteration: 20 	 array size: 100000 
time: 49046 	 iteration: 21 	 array size: 100000 
time: 37058 	 iteration: 22 	 array size: 100000 
time: 53940 	 iteration: 23 	 array size: 100000 
time: 51843 	 iteration: 24 	 array size: 100000 
time: 40460 	 iteration: 25 	 array size: 100000 
time: 53550 	 iteration: 26 	 array size: 100000 
time: 41089 	 iteration: 27 	 array size: 100000 
time: 48491 	 iteration: 28 	 array size: 100000 
time: 48197 	 iteration: 29 	 array size: 100000 
time: 36769 	 iteration: 30 	 array size: 100000 
time: 47386 	 iteration: 1 	 array size: 1000000 
time: 47900 	 iteration: 2 	 array size: 1000000 
time: 44235 	 iteration: 3 	 array size: 1000000 
time: 53510 	 iteration: 4 	 array size: 1000000 
time: 41875 	 iteration: 5 	 array size: 1000000 
time: 52486 	 iteration: 6 	 array size: 1000000 
time: 51707 	 iteration: 7 	 array size: 1000000 
time: 48906 	 iteration: 8 	 array size: 1000000 
time: 49576 	 iteration: 9 	 array size: 1000000 
time: 38116 	 iteration: 10 	 array size: 1000000 
time: 45649 	 iteration: 11 	 array size: 1000000 
time: 55377 	 iteration: 12 	 array size: 1000000 
time: 47318 	 iteration: 13 	 array size: 1000000 
time: 38005 	 iteration: 14 	 array size: 1000000 
time: 42584 	 iteration: 15 	 array size: 1000000 
time: 54049 	 iteration: 16 	 array size: 1000000 
time: 57442 	 iteration: 17 	 array size: 1000000 
time: 56356 	 iteration: 18 	 array size: 1000000 
time: 45243 	 iteration: 19 	 array size: 1000000 
time: 50539 	 iteration: 20 	 array size: 1000000 
time: 52598 	 iteration: 21 	 array size: 1000000 
time: 49917 	 iteration: 22 	 array size: 1000000 
time: 48365 	 iteration: 23 	 array size: 1000000 
time: 39199 	 iteration: 24 	 array size: 1000000 
time: 49991 	 iteration: 25 	 array size: 1000000 
time: 48481 	 iteration: 26 	 array size: 1000000 
time: 50828 	 iteration: 27 	 array size: 1000000 
time: 48219 	 iteration: 28 	 array size: 1000000 
time: 42144 	 iteration: 29 	 array size: 1000000 
time: 53627 	 iteration: 30 	 array size: 1000000 
time: 61096 	 iteration: 1 	 array size: 10000000 
time: 64569 	 iteration: 2 	 array size: 10000000 
time: 55551 	 iteration: 3 	 array size: 10000000 
time: 56666 	 iteration: 4 	 array size: 10000000 
time: 56953 	 iteration: 5 	 array size: 10000000 
time: 68570 	 iteration: 6 	 array size: 10000000 
time: 65883 	 iteration: 7 	 array size: 10000000 
time: 61229 	 iteration: 8 	 array size: 10000000 
time: 61419 	 iteration: 9 	 array size: 10000000 
time: 55951 	 iteration: 10 	 array size: 10000000 
time: 69971 	 iteration: 11 	 array size: 10000000 
time: 63207 	 iteration: 12 	 array size: 10000000 
time: 88211 	 iteration: 13 	 array size: 10000000 
time: 61476 	 iteration: 14 	 array size: 10000000 
time: 57358 	 iteration: 15 	 array size: 10000000 
time: 55219 	 iteration: 16 	 array size: 10000000 
time: 58246 	 iteration: 17 	 array size: 10000000 
time: 55692 	 iteration: 18 	 array size: 10000000 
time: 50930 	 iteration: 19 	 array size: 10000000 
time: 62254 	 iteration: 20 	 array size: 10000000 
time: 66104 	 iteration: 21 	 array size: 10000000 
time: 54248 	 iteration: 22 	 array size: 10000000 
time: 52359 	 iteration: 23 	 array size: 10000000 
time: 62251 	 iteration: 24 	 array size: 10000000 
time: 54895 	 iteration: 25 	 array size: 10000000 
time: 57717 	 iteration: 26 	 array size: 10000000 
time: 68388 	 iteration: 27 	 array size: 10000000 
time: 51318 	 iteration: 28 	 array size: 10000000 
time: 54569 	 iteration: 29 	 array size: 10000000 
time: 63329 	 iteration: 30 	 array size: 10000000 
time: 123563 	 iteration: 1 	 array size: 100000000 
time: 113295 	 iteration: 2 	 array size: 100000000 
time: 117622 	 iteration: 3 	 array size: 100000000 
time: 118119 	 iteration: 4 	 array size: 100000000 
time: 117395 	 iteration: 5 	 array size: 100000000 
time: 123817 	 iteration: 6 	 array size: 100000000 
time: 118496 	 iteration: 7 	 array size: 100000000 
time: 121312 	 iteration: 8 	 array size: 100000000 
time: 114681 	 iteration: 9 	 array size: 100000000 
time: 117285 	 iteration: 10 	 array size: 100000000 
time: 119447 	 iteration: 11 	 array size: 100000000 
time: 120770 	 iteration: 12 	 array size: 100000000 
time: 119284 	 iteration: 13 	 array size: 100000000 
time: 120199 	 iteration: 14 	 array size: 100000000 
time: 115447 	 iteration: 15 	 array size: 100000000 
time: 116997 	 iteration: 16 	 array size: 100000000 
time: 118087 	 iteration: 17 	 array size: 100000000 
time: 114447 	 iteration: 18 	 array size: 100000000 
time: 124091 	 iteration: 19 	 array size: 100000000 
time: 127190 	 iteration: 20 	 array size: 100000000 
time: 116791 	 iteration: 21 	 array size: 100000000 
time: 112629 	 iteration: 22 	 array size: 100000000 
time: 126813 	 iteration: 23 	 array size: 100000000 
time: 114337 	 iteration: 24 	 array size: 100000000 
time: 118156 	 iteration: 25 	 array size: 100000000 
time: 116061 	 iteration: 26 	 array size: 100000000 
time: 115505 	 iteration: 27 	 array size: 100000000 
time: 118660 	 iteration: 28 	 array size: 100000000 
time: 112836 	 iteration: 29 	 array size: 100000000 
time: 119315 	 iteration: 30 	 array size: 100000000 
