time: 256.000000 	 spheres 256 	 iteration 20.
time: 256.000000 	 spheres 256 	 iteration 10.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 1000.000000 	 spheres 1000 	 iteration 0.
time: 256.000000 	 spheres 20 	 iteration 1.
time: 1024.000000 	 spheres 20 	 iteration 1.
time: 1024.000000 	 spheres 20 	 iteration 1.
time: 1024.000000 	 spheres 20 	 iteration 1.
time: 1024.000000 	 spheres 20 	 iteration 1.
time: 1024.000000 	 spheres 20 	 iteration 1.
time: 1224.000000 	 spheres 20 	 iteration 1.
time: 1324.000000 	 spheres 20 	 iteration 1.
time: 1424.000000 	 spheres 20 	 iteration 1.
time: 1424.000000 	 spheres 20 	 iteration 1.
time: 1436.000000 	 spheres 20 	 iteration 1.
time: 1440.000000 	 spheres 20 	 iteration 1.
time: 1444.000000 	 spheres 20 	 iteration 1.
time: 1444.000000 	 spheres 20 	 iteration 1.
time: 1446.000000 	 spheres 20 	 iteration 1.
time: 1447.000000 	 spheres 20 	 iteration 1.
time: 1447.000000 	 spheres 20 	 iteration 1.
time: 1447.000000 	 spheres 20 	 iteration 1.
