time: 7739.000000.0, 	 iteration: 1, 	 dimension: 256, 	 spheres 20
time: 7735.000000.0, 	 iteration: 2, 	 dimension: 256, 	 spheres 20
time: 7748.000000.0, 	 iteration: 3, 	 dimension: 256, 	 spheres 20
time: 7756.000000.0, 	 iteration: 4, 	 dimension: 256, 	 spheres 20
time: 7729.000000.0, 	 iteration: 5, 	 dimension: 256, 	 spheres 20
time: 7733.000000.0, 	 iteration: 6, 	 dimension: 256, 	 spheres 20
time: 7768.000000.0, 	 iteration: 7, 	 dimension: 256, 	 spheres 20
time: 7744.000000.0, 	 iteration: 8, 	 dimension: 256, 	 spheres 20
time: 7735.000000.0, 	 iteration: 9, 	 dimension: 256, 	 spheres 20
time: 7754.000000.0, 	 iteration: 10, 	 dimension: 256, 	 spheres 20
time: 7704.000000.0, 	 iteration: 11, 	 dimension: 256, 	 spheres 20
time: 7744.000000.0, 	 iteration: 12, 	 dimension: 256, 	 spheres 20
time: 7735.000000.0, 	 iteration: 13, 	 dimension: 256, 	 spheres 20
time: 7736.000000.0, 	 iteration: 14, 	 dimension: 256, 	 spheres 20
time: 7843.000000.0, 	 iteration: 15, 	 dimension: 256, 	 spheres 20
time: 7699.000000.0, 	 iteration: 16, 	 dimension: 256, 	 spheres 20
time: 7735.000000.0, 	 iteration: 17, 	 dimension: 256, 	 spheres 20
time: 7750.000000.0, 	 iteration: 18, 	 dimension: 256, 	 spheres 20
time: 7746.000000.0, 	 iteration: 19, 	 dimension: 256, 	 spheres 20
time: 7742.000000.0, 	 iteration: 20, 	 dimension: 256, 	 spheres 20
time: 7706.000000.0, 	 iteration: 21, 	 dimension: 256, 	 spheres 20
time: 7753.000000.0, 	 iteration: 22, 	 dimension: 256, 	 spheres 20
time: 7735.000000.0, 	 iteration: 23, 	 dimension: 256, 	 spheres 20
time: 7729.000000.0, 	 iteration: 24, 	 dimension: 256, 	 spheres 20
time: 7757.000000.0, 	 iteration: 25, 	 dimension: 256, 	 spheres 20
time: 7744.000000.0, 	 iteration: 26, 	 dimension: 256, 	 spheres 20
time: 7747.000000.0, 	 iteration: 27, 	 dimension: 256, 	 spheres 20
time: 7766.000000.0, 	 iteration: 28, 	 dimension: 256, 	 spheres 20
time: 7752.000000.0, 	 iteration: 29, 	 dimension: 256, 	 spheres 20
time: 7742.000000.0, 	 iteration: 30, 	 dimension: 256, 	 spheres 20
time: 7737.000000.0, 	 iteration: 1, 	 dimension: 1024, 	 spheres 20
time: 7756.000000.0, 	 iteration: 2, 	 dimension: 1024, 	 spheres 20
time: 7735.000000.0, 	 iteration: 3, 	 dimension: 1024, 	 spheres 20
time: 7748.000000.0, 	 iteration: 4, 	 dimension: 1024, 	 spheres 20
time: 7741.000000.0, 	 iteration: 5, 	 dimension: 1024, 	 spheres 20
time: 7759.000000.0, 	 iteration: 6, 	 dimension: 1024, 	 spheres 20
time: 7744.000000.0, 	 iteration: 7, 	 dimension: 1024, 	 spheres 20
time: 7820.000000.0, 	 iteration: 8, 	 dimension: 1024, 	 spheres 20
time: 7822.000000.0, 	 iteration: 9, 	 dimension: 1024, 	 spheres 20
time: 7794.000000.0, 	 iteration: 10, 	 dimension: 1024, 	 spheres 20
time: 7761.000000.0, 	 iteration: 11, 	 dimension: 1024, 	 spheres 20
time: 7748.000000.0, 	 iteration: 12, 	 dimension: 1024, 	 spheres 20
time: 7746.000000.0, 	 iteration: 13, 	 dimension: 1024, 	 spheres 20
time: 7751.000000.0, 	 iteration: 14, 	 dimension: 1024, 	 spheres 20
time: 7765.000000.0, 	 iteration: 15, 	 dimension: 1024, 	 spheres 20
time: 8022.000000.0, 	 iteration: 16, 	 dimension: 1024, 	 spheres 20
time: 7747.000000.0, 	 iteration: 17, 	 dimension: 1024, 	 spheres 20
time: 7768.000000.0, 	 iteration: 18, 	 dimension: 1024, 	 spheres 20
