time: 4 	 iteration: 1 	 array size: 1000 
time: 3 	 iteration: 2 	 array size: 1000 
time: 3 	 iteration: 3 	 array size: 1000 
time: 4 	 iteration: 4 	 array size: 1000 
time: 3 	 iteration: 5 	 array size: 1000 
time: 3 	 iteration: 6 	 array size: 1000 
time: 3 	 iteration: 7 	 array size: 1000 
time: 4 	 iteration: 8 	 array size: 1000 
time: 3 	 iteration: 9 	 array size: 1000 
time: 3 	 iteration: 10 	 array size: 1000 
time: 3 	 iteration: 11 	 array size: 1000 
time: 3 	 iteration: 12 	 array size: 1000 
time: 3 	 iteration: 13 	 array size: 1000 
time: 3 	 iteration: 14 	 array size: 1000 
time: 3 	 iteration: 15 	 array size: 1000 
time: 3 	 iteration: 16 	 array size: 1000 
time: 3 	 iteration: 17 	 array size: 1000 
time: 3 	 iteration: 18 	 array size: 1000 
time: 3 	 iteration: 19 	 array size: 1000 
time: 3 	 iteration: 20 	 array size: 1000 
time: 4 	 iteration: 21 	 array size: 1000 
time: 3 	 iteration: 22 	 array size: 1000 
time: 3 	 iteration: 23 	 array size: 1000 
time: 3 	 iteration: 24 	 array size: 1000 
time: 4 	 iteration: 25 	 array size: 1000 
time: 3 	 iteration: 26 	 array size: 1000 
time: 3 	 iteration: 27 	 array size: 1000 
time: 3 	 iteration: 28 	 array size: 1000 
time: 3 	 iteration: 29 	 array size: 1000 
time: 3 	 iteration: 30 	 array size: 1000 
time: 283 	 iteration: 1 	 array size: 100000 
time: 286 	 iteration: 2 	 array size: 100000 
time: 294 	 iteration: 3 	 array size: 100000 
time: 301 	 iteration: 4 	 array size: 100000 
time: 381 	 iteration: 5 	 array size: 100000 
time: 287 	 iteration: 6 	 array size: 100000 
time: 288 	 iteration: 7 	 array size: 100000 
time: 286 	 iteration: 8 	 array size: 100000 
time: 292 	 iteration: 9 	 array size: 100000 
time: 286 	 iteration: 10 	 array size: 100000 
time: 380 	 iteration: 11 	 array size: 100000 
time: 284 	 iteration: 12 	 array size: 100000 
time: 284 	 iteration: 13 	 array size: 100000 
time: 281 	 iteration: 14 	 array size: 100000 
time: 400 	 iteration: 15 	 array size: 100000 
time: 287 	 iteration: 16 	 array size: 100000 
time: 286 	 iteration: 17 	 array size: 100000 
time: 287 	 iteration: 18 	 array size: 100000 
time: 293 	 iteration: 19 	 array size: 100000 
time: 287 	 iteration: 20 	 array size: 100000 
time: 286 	 iteration: 21 	 array size: 100000 
time: 286 	 iteration: 22 	 array size: 100000 
time: 380 	 iteration: 23 	 array size: 100000 
time: 283 	 iteration: 24 	 array size: 100000 
time: 286 	 iteration: 25 	 array size: 100000 
time: 301 	 iteration: 26 	 array size: 100000 
time: 288 	 iteration: 27 	 array size: 100000 
time: 289 	 iteration: 28 	 array size: 100000 
time: 286 	 iteration: 29 	 array size: 100000 
time: 406 	 iteration: 30 	 array size: 100000 
time: 3116 	 iteration: 1 	 array size: 1000000 
time: 3363 	 iteration: 2 	 array size: 1000000 
time: 3038 	 iteration: 3 	 array size: 1000000 
time: 4397 	 iteration: 4 	 array size: 1000000 
time: 4041 	 iteration: 5 	 array size: 1000000 
time: 3085 	 iteration: 6 	 array size: 1000000 
time: 3078 	 iteration: 7 	 array size: 1000000 
time: 3082 	 iteration: 8 	 array size: 1000000 
time: 3327 	 iteration: 9 	 array size: 1000000 
time: 3080 	 iteration: 10 	 array size: 1000000 
time: 3106 	 iteration: 11 	 array size: 1000000 
time: 3433 	 iteration: 12 	 array size: 1000000 
time: 4162 	 iteration: 13 	 array size: 1000000 
time: 3751 	 iteration: 14 	 array size: 1000000 
time: 3231 	 iteration: 15 	 array size: 1000000 
time: 3502 	 iteration: 16 	 array size: 1000000 
time: 3106 	 iteration: 17 	 array size: 1000000 
time: 3056 	 iteration: 18 	 array size: 1000000 
time: 3110 	 iteration: 19 	 array size: 1000000 
time: 3038 	 iteration: 20 	 array size: 1000000 
time: 3374 	 iteration: 21 	 array size: 1000000 
time: 3110 	 iteration: 22 	 array size: 1000000 
time: 3065 	 iteration: 23 	 array size: 1000000 
time: 3070 	 iteration: 24 	 array size: 1000000 
time: 3143 	 iteration: 25 	 array size: 1000000 
time: 3207 	 iteration: 26 	 array size: 1000000 
time: 3969 	 iteration: 27 	 array size: 1000000 
time: 3229 	 iteration: 28 	 array size: 1000000 
time: 3485 	 iteration: 29 	 array size: 1000000 
time: 4040 	 iteration: 30 	 array size: 1000000 
time: 138506 	 iteration: 1 	 array size: 10000000 
time: 138123 	 iteration: 2 	 array size: 10000000 
time: 134987 	 iteration: 3 	 array size: 10000000 
time: 140537 	 iteration: 4 	 array size: 10000000 
time: 141404 	 iteration: 5 	 array size: 10000000 
time: 134010 	 iteration: 6 	 array size: 10000000 
time: 136268 	 iteration: 7 	 array size: 10000000 
time: 140455 	 iteration: 8 	 array size: 10000000 
time: 129442 	 iteration: 9 	 array size: 10000000 
time: 140079 	 iteration: 10 	 array size: 10000000 
time: 141509 	 iteration: 11 	 array size: 10000000 
time: 143378 	 iteration: 12 	 array size: 10000000 
time: 137989 	 iteration: 13 	 array size: 10000000 
time: 141581 	 iteration: 14 	 array size: 10000000 
time: 140880 	 iteration: 15 	 array size: 10000000 
time: 140599 	 iteration: 16 	 array size: 10000000 
time: 132334 	 iteration: 17 	 array size: 10000000 
