time: 88592, iteration: 1, dimension: 256x256, spheres: 20 
time: 88416, iteration: 2, dimension: 256x256, spheres: 20 
time: 93770, iteration: 3, dimension: 256x256, spheres: 20 
time: 93197, iteration: 4, dimension: 256x256, spheres: 20 
time: 92329, iteration: 5, dimension: 256x256, spheres: 20 
time: 96394, iteration: 6, dimension: 256x256, spheres: 20 
time: 90784, iteration: 7, dimension: 256x256, spheres: 20 
time: 89687, iteration: 8, dimension: 256x256, spheres: 20 
time: 99409, iteration: 9, dimension: 256x256, spheres: 20 
time: 89595, iteration: 10, dimension: 256x256, spheres: 20 
time: 104093, iteration: 11, dimension: 256x256, spheres: 20 
time: 98373, iteration: 12, dimension: 256x256, spheres: 20 
time: 88591, iteration: 13, dimension: 256x256, spheres: 20 
time: 89057, iteration: 14, dimension: 256x256, spheres: 20 
time: 95721, iteration: 15, dimension: 256x256, spheres: 20 
time: 95982, iteration: 16, dimension: 256x256, spheres: 20 
time: 92424, iteration: 17, dimension: 256x256, spheres: 20 
time: 98810, iteration: 18, dimension: 256x256, spheres: 20 
time: 95555, iteration: 19, dimension: 256x256, spheres: 20 
time: 94970, iteration: 20, dimension: 256x256, spheres: 20 
time: 89031, iteration: 21, dimension: 256x256, spheres: 20 
time: 90650, iteration: 22, dimension: 256x256, spheres: 20 
time: 89089, iteration: 23, dimension: 256x256, spheres: 20 
time: 93275, iteration: 24, dimension: 256x256, spheres: 20 
time: 96354, iteration: 25, dimension: 256x256, spheres: 20 
time: 90598, iteration: 26, dimension: 256x256, spheres: 20 
time: 93321, iteration: 27, dimension: 256x256, spheres: 20 
time: 107764, iteration: 28, dimension: 256x256, spheres: 20 
time: 120426, iteration: 29, dimension: 256x256, spheres: 20 
time: 89101, iteration: 30, dimension: 256x256, spheres: 20 
time: 1966416, iteration: 1, dimension: 1024x1024, spheres: 20 
time: 1939179, iteration: 2, dimension: 1024x1024, spheres: 20 
time: 1954886, iteration: 3, dimension: 1024x1024, spheres: 20 
time: 1923557, iteration: 4, dimension: 1024x1024, spheres: 20 
time: 1967063, iteration: 5, dimension: 1024x1024, spheres: 20 
time: 1806473, iteration: 6, dimension: 1024x1024, spheres: 20 
time: 1931799, iteration: 7, dimension: 1024x1024, spheres: 20 
time: 1950959, iteration: 8, dimension: 1024x1024, spheres: 20 
time: 1949190, iteration: 9, dimension: 1024x1024, spheres: 20 
time: 1942567, iteration: 10, dimension: 1024x1024, spheres: 20 
time: 1954677, iteration: 11, dimension: 1024x1024, spheres: 20 
time: 1954336, iteration: 12, dimension: 1024x1024, spheres: 20 
time: 1944590, iteration: 13, dimension: 1024x1024, spheres: 20 
time: 1970707, iteration: 14, dimension: 1024x1024, spheres: 20 
time: 1753769, iteration: 15, dimension: 1024x1024, spheres: 20 
time: 1939265, iteration: 16, dimension: 1024x1024, spheres: 20 
time: 1960331, iteration: 17, dimension: 1024x1024, spheres: 20 
time: 1950873, iteration: 18, dimension: 1024x1024, spheres: 20 
time: 1960353, iteration: 19, dimension: 1024x1024, spheres: 20 
time: 1909446, iteration: 20, dimension: 1024x1024, spheres: 20 
time: 1965113, iteration: 21, dimension: 1024x1024, spheres: 20 
time: 1948713, iteration: 22, dimension: 1024x1024, spheres: 20 
time: 1916573, iteration: 23, dimension: 1024x1024, spheres: 20 
time: 1930726, iteration: 24, dimension: 1024x1024, spheres: 20 
time: 1965289, iteration: 25, dimension: 1024x1024, spheres: 20 
time: 1938805, iteration: 26, dimension: 1024x1024, spheres: 20 
time: 1946363, iteration: 27, dimension: 1024x1024, spheres: 20 
time: 1965332, iteration: 28, dimension: 1024x1024, spheres: 20 
time: 1932345, iteration: 29, dimension: 1024x1024, spheres: 20 
time: 1958894, iteration: 30, dimension: 1024x1024, spheres: 20 
time: 17267632, iteration: 1, dimension: 3072x3072, spheres: 20 
time: 17272060, iteration: 2, dimension: 3072x3072, spheres: 20 
time: 17084020, iteration: 3, dimension: 3072x3072, spheres: 20 
time: 17003321, iteration: 4, dimension: 3072x3072, spheres: 20 
time: 16990624, iteration: 5, dimension: 3072x3072, spheres: 20 
time: 16764298, iteration: 6, dimension: 3072x3072, spheres: 20 
