time: 142586 	 iteration: 1 	 array size: 5000000 
time: 124547 	 iteration: 1 	 array size: 5000000 
time: 120002 	 iteration: 1 	 array size: 5000000 
time: 114300 	 iteration: 1 	 array size: 5000000 
time: 116330 	 iteration: 1 	 array size: 5000000 
time: 120096 	 iteration: 1 	 array size: 5000000 
time: 118020 	 iteration: 1 	 array size: 5000000 
time: 121794 	 iteration: 1 	 array size: 5000000 
time: 120943 	 iteration: 1 	 array size: 5000000 
time: 124352 	 iteration: 1 	 array size: 5000000 
time: 117422 	 iteration: 2 	 array size: 5000000 
time: 132862 	 iteration: 3 	 array size: 5000000 
time: 118661 	 iteration: 4 	 array size: 5000000 
time: 121365 	 iteration: 5 	 array size: 5000000 
time: 123230 	 iteration: 1 	 array size: 5000000 
time: 129232 	 iteration: 2 	 array size: 5000000 
time: 122454 	 iteration: 3 	 array size: 5000000 
time: 119393 	 iteration: 4 	 array size: 5000000 
time: 121001 	 iteration: 5 	 array size: 5000000 
time: 119099 	 iteration: 1 	 array size: 5000000 
time: 120248 	 iteration: 1 	 array size: 5000000 
time: 129306 	 iteration: 1 	 array size: 5000000 
time: 121023 	 iteration: 1 	 array size: 5000000 
