time: 1465, iteration: 1, dimension: 256x256, spheres: 20 
time: 1361, iteration: 2, dimension: 256x256, spheres: 20 
time: 1770, iteration: 3, dimension: 256x256, spheres: 20 
time: 1903, iteration: 4, dimension: 256x256, spheres: 20 
time: 1475, iteration: 5, dimension: 256x256, spheres: 20 
time: 1337, iteration: 6, dimension: 256x256, spheres: 20 
time: 1749, iteration: 7, dimension: 256x256, spheres: 20 
time: 1621, iteration: 8, dimension: 256x256, spheres: 20 
time: 1544, iteration: 9, dimension: 256x256, spheres: 20 
time: 1609, iteration: 10, dimension: 256x256, spheres: 20 
time: 1477, iteration: 11, dimension: 256x256, spheres: 20 
time: 1301, iteration: 12, dimension: 256x256, spheres: 20 
time: 1605, iteration: 13, dimension: 256x256, spheres: 20 
time: 1634, iteration: 14, dimension: 256x256, spheres: 20 
time: 1379, iteration: 15, dimension: 256x256, spheres: 20 
time: 1405, iteration: 16, dimension: 256x256, spheres: 20 
time: 1378, iteration: 17, dimension: 256x256, spheres: 20 
time: 1698, iteration: 18, dimension: 256x256, spheres: 20 
time: 1468, iteration: 19, dimension: 256x256, spheres: 20 
time: 1342, iteration: 20, dimension: 256x256, spheres: 20 
time: 1520, iteration: 21, dimension: 256x256, spheres: 20 
time: 1387, iteration: 22, dimension: 256x256, spheres: 20 
time: 1331, iteration: 23, dimension: 256x256, spheres: 20 
time: 1417, iteration: 24, dimension: 256x256, spheres: 20 
time: 1508, iteration: 25, dimension: 256x256, spheres: 20 
time: 1442, iteration: 26, dimension: 256x256, spheres: 20 
time: 1458, iteration: 27, dimension: 256x256, spheres: 20 
time: 1466, iteration: 28, dimension: 256x256, spheres: 20 
time: 1465, iteration: 29, dimension: 256x256, spheres: 20 
time: 1453, iteration: 30, dimension: 256x256, spheres: 20 
time: 1853, iteration: 1, dimension: 1024x1024, spheres: 20 
time: 1550, iteration: 2, dimension: 1024x1024, spheres: 20 
time: 1594, iteration: 3, dimension: 1024x1024, spheres: 20 
time: 1581, iteration: 4, dimension: 1024x1024, spheres: 20 
time: 1535, iteration: 5, dimension: 1024x1024, spheres: 20 
time: 1504, iteration: 6, dimension: 1024x1024, spheres: 20 
time: 1530, iteration: 7, dimension: 1024x1024, spheres: 20 
time: 1467, iteration: 8, dimension: 1024x1024, spheres: 20 
time: 1489, iteration: 9, dimension: 1024x1024, spheres: 20 
time: 1548, iteration: 10, dimension: 1024x1024, spheres: 20 
time: 1564, iteration: 11, dimension: 1024x1024, spheres: 20 
time: 1462, iteration: 12, dimension: 1024x1024, spheres: 20 
time: 1520, iteration: 13, dimension: 1024x1024, spheres: 20 
time: 1612, iteration: 14, dimension: 1024x1024, spheres: 20 
time: 1535, iteration: 15, dimension: 1024x1024, spheres: 20 
time: 1546, iteration: 16, dimension: 1024x1024, spheres: 20 
time: 1672, iteration: 17, dimension: 1024x1024, spheres: 20 
time: 1687, iteration: 18, dimension: 1024x1024, spheres: 20 
time: 1539, iteration: 19, dimension: 1024x1024, spheres: 20 
time: 1634, iteration: 20, dimension: 1024x1024, spheres: 20 
time: 2057, iteration: 21, dimension: 1024x1024, spheres: 20 
time: 1690, iteration: 22, dimension: 1024x1024, spheres: 20 
time: 1572, iteration: 23, dimension: 1024x1024, spheres: 20 
time: 1499, iteration: 24, dimension: 1024x1024, spheres: 20 
time: 1477, iteration: 25, dimension: 1024x1024, spheres: 20 
time: 2164, iteration: 26, dimension: 1024x1024, spheres: 20 
time: 1738, iteration: 27, dimension: 1024x1024, spheres: 20 
time: 1535, iteration: 28, dimension: 1024x1024, spheres: 20 
time: 1567, iteration: 29, dimension: 1024x1024, spheres: 20 
time: 1611, iteration: 30, dimension: 1024x1024, spheres: 20 
time: 2192, iteration: 1, dimension: 3072x3072, spheres: 20 
time: 2176, iteration: 2, dimension: 3072x3072, spheres: 20 
time: 2570, iteration: 3, dimension: 3072x3072, spheres: 20 
time: 2218, iteration: 4, dimension: 3072x3072, spheres: 20 
time: 2531, iteration: 5, dimension: 3072x3072, spheres: 20 
time: 2359, iteration: 6, dimension: 3072x3072, spheres: 20 
time: 2418, iteration: 7, dimension: 3072x3072, spheres: 20 
time: 2161, iteration: 8, dimension: 3072x3072, spheres: 20 
time: 2103, iteration: 9, dimension: 3072x3072, spheres: 20 
time: 2302, iteration: 10, dimension: 3072x3072, spheres: 20 
time: 2175, iteration: 11, dimension: 3072x3072, spheres: 20 
time: 2205, iteration: 12, dimension: 3072x3072, spheres: 20 
time: 2145, iteration: 13, dimension: 3072x3072, spheres: 20 
time: 2100, iteration: 14, dimension: 3072x3072, spheres: 20 
time: 2547, iteration: 15, dimension: 3072x3072, spheres: 20 
time: 2370, iteration: 16, dimension: 3072x3072, spheres: 20 
time: 2243, iteration: 17, dimension: 3072x3072, spheres: 20 
time: 2242, iteration: 18, dimension: 3072x3072, spheres: 20 
time: 2388, iteration: 19, dimension: 3072x3072, spheres: 20 
time: 2330, iteration: 20, dimension: 3072x3072, spheres: 20 
time: 2209, iteration: 21, dimension: 3072x3072, spheres: 20 
time: 2272, iteration: 22, dimension: 3072x3072, spheres: 20 
time: 2226, iteration: 23, dimension: 3072x3072, spheres: 20 
time: 2388, iteration: 24, dimension: 3072x3072, spheres: 20 
time: 2293, iteration: 25, dimension: 3072x3072, spheres: 20 
time: 2209, iteration: 26, dimension: 3072x3072, spheres: 20 
time: 2380, iteration: 27, dimension: 3072x3072, spheres: 20 
time: 2164, iteration: 28, dimension: 3072x3072, spheres: 20 
time: 2096, iteration: 29, dimension: 3072x3072, spheres: 20 
time: 2418, iteration: 30, dimension: 3072x3072, spheres: 20 
time: 1522, iteration: 1, dimension: 256x256, spheres: 20 
time: 1642, iteration: 2, dimension: 256x256, spheres: 20 
time: 1860, iteration: 3, dimension: 256x256, spheres: 20 
time: 1563, iteration: 4, dimension: 256x256, spheres: 20 
