time: 15075 	 iteration: 1 	 array size: 5000000 
time: 15288 	 iteration: 1 	 array size: 5000000 
time: 16008 	 iteration: 1 	 array size: 5000000 
time: 11793 	 iteration: 1 	 array size: 5000000 
time: 7678 	 iteration: 1 	 array size: 5000000 
time: 7753 	 iteration: 1 	 array size: 5000000 
time: 7825 	 iteration: 1 	 array size: 5000000 
time: 7550 	 iteration: 2 	 array size: 5000000 
time: 7696 	 iteration: 3 	 array size: 5000000 
time: 7644 	 iteration: 4 	 array size: 5000000 
time: 7643 	 iteration: 5 	 array size: 5000000 
time: 7632 	 iteration: 1 	 array size: 5000000 
time: 7947 	 iteration: 2 	 array size: 5000000 
time: 8196 	 iteration: 3 	 array size: 5000000 
time: 7669 	 iteration: 4 	 array size: 5000000 
time: 7863 	 iteration: 5 	 array size: 5000000 
time: 7653 	 iteration: 1 	 array size: 5000000 
time: 7544 	 iteration: 1 	 array size: 5000000 
time: 8078 	 iteration: 1 	 array size: 5000000 
time: 7395 	 iteration: 1 	 array size: 5000000 
time: 7671 	 iteration: 1 	 array size: 5000000 
time: 8163 	 iteration: 1 	 array size: 5000000 
