time: 54775.000000 	 iteration: 1 	 array size: 5000000 
time: 39969.000000 	 iteration: 2 	 array size: 5000000 
time: 41244.000000 	 iteration: 3 	 array size: 5000000 
time: 39196.000000 	 iteration: 4 	 array size: 5000000 
time: 44691.000000 	 iteration: 5 	 array size: 5000000 
time: 43485.000000 	 iteration: 6 	 array size: 5000000 
time: 39706.000000 	 iteration: 7 	 array size: 5000000 
time: 41601.000000 	 iteration: 8 	 array size: 5000000 
time: 38757.000000 	 iteration: 9 	 array size: 5000000 
time: 39751.000000 	 iteration: 10 	 array size: 5000000 
time: 44091.000000 	 iteration: 11 	 array size: 5000000 
time: 36441.000000 	 iteration: 12 	 array size: 5000000 
time: 44507.000000 	 iteration: 13 	 array size: 5000000 
time: 43555.000000 	 iteration: 14 	 array size: 5000000 
time: 43398.000000 	 iteration: 15 	 array size: 5000000 
time: 43415.000000 	 iteration: 16 	 array size: 5000000 
time: 45093.000000 	 iteration: 17 	 array size: 5000000 
time: 37540.000000 	 iteration: 18 	 array size: 5000000 
time: 38781.000000 	 iteration: 19 	 array size: 5000000 
time: 39206.000000 	 iteration: 20 	 array size: 5000000 
time: 49743.000000 	 iteration: 21 	 array size: 5000000 
time: 38808.000000 	 iteration: 22 	 array size: 5000000 
time: 43490.000000 	 iteration: 23 	 array size: 5000000 
time: 42876.000000 	 iteration: 24 	 array size: 5000000 
time: 43496.000000 	 iteration: 25 	 array size: 5000000 
time: 43772.000000 	 iteration: 26 	 array size: 5000000 
time: 44272.000000 	 iteration: 27 	 array size: 5000000 
time: 44906.000000 	 iteration: 28 	 array size: 5000000 
time: 43877.000000 	 iteration: 29 	 array size: 5000000 
time: 39346.000000 	 iteration: 30 	 array size: 5000000 
time: 75207.000000 	 iteration: 1 	 array size: 50000000 
time: 71055.000000 	 iteration: 2 	 array size: 50000000 
time: 74000.000000 	 iteration: 3 	 array size: 50000000 
time: 74639.000000 	 iteration: 4 	 array size: 50000000 
time: 72566.000000 	 iteration: 5 	 array size: 50000000 
time: 70999.000000 	 iteration: 6 	 array size: 50000000 
time: 74803.000000 	 iteration: 7 	 array size: 50000000 
time: 75617.000000 	 iteration: 8 	 array size: 50000000 
time: 73207.000000 	 iteration: 9 	 array size: 50000000 
time: 70736.000000 	 iteration: 10 	 array size: 50000000 
time: 72329.000000 	 iteration: 11 	 array size: 50000000 
time: 71940.000000 	 iteration: 12 	 array size: 50000000 
time: 72959.000000 	 iteration: 13 	 array size: 50000000 
time: 70212.000000 	 iteration: 14 	 array size: 50000000 
time: 72454.000000 	 iteration: 15 	 array size: 50000000 
time: 76192.000000 	 iteration: 16 	 array size: 50000000 
time: 70075.000000 	 iteration: 17 	 array size: 50000000 
time: 72260.000000 	 iteration: 18 	 array size: 50000000 
time: 70538.000000 	 iteration: 19 	 array size: 50000000 
time: 75205.000000 	 iteration: 20 	 array size: 50000000 
time: 70844.000000 	 iteration: 21 	 array size: 50000000 
time: 74622.000000 	 iteration: 22 	 array size: 50000000 
time: 69965.000000 	 iteration: 23 	 array size: 50000000 
time: 68711.000000 	 iteration: 24 	 array size: 50000000 
time: 77098.000000 	 iteration: 25 	 array size: 50000000 
time: 69098.000000 	 iteration: 26 	 array size: 50000000 
time: 74276.000000 	 iteration: 27 	 array size: 50000000 
time: 72884.000000 	 iteration: 28 	 array size: 50000000 
time: 72511.000000 	 iteration: 29 	 array size: 50000000 
time: 73010.000000 	 iteration: 30 	 array size: 50000000 
time: 108291.000000 	 iteration: 1 	 array size: 100000000 
time: 107672.000000 	 iteration: 2 	 array size: 100000000 
time: 106931.000000 	 iteration: 3 	 array size: 100000000 
time: 107580.000000 	 iteration: 4 	 array size: 100000000 
time: 107189.000000 	 iteration: 5 	 array size: 100000000 
time: 105440.000000 	 iteration: 6 	 array size: 100000000 
time: 103701.000000 	 iteration: 7 	 array size: 100000000 
time: 109408.000000 	 iteration: 8 	 array size: 100000000 
time: 103183.000000 	 iteration: 9 	 array size: 100000000 
time: 105213.000000 	 iteration: 10 	 array size: 100000000 
time: 103448.000000 	 iteration: 11 	 array size: 100000000 
time: 107669.000000 	 iteration: 12 	 array size: 100000000 
time: 107717.000000 	 iteration: 13 	 array size: 100000000 
time: 102991.000000 	 iteration: 14 	 array size: 100000000 
time: 108010.000000 	 iteration: 15 	 array size: 100000000 
time: 114301.000000 	 iteration: 16 	 array size: 100000000 
time: 101412.000000 	 iteration: 17 	 array size: 100000000 
time: 109060.000000 	 iteration: 18 	 array size: 100000000 
time: 112627.000000 	 iteration: 19 	 array size: 100000000 
time: 104679.000000 	 iteration: 20 	 array size: 100000000 
time: 104063.000000 	 iteration: 21 	 array size: 100000000 
time: 108198.000000 	 iteration: 22 	 array size: 100000000 
time: 104334.000000 	 iteration: 23 	 array size: 100000000 
time: 102960.000000 	 iteration: 24 	 array size: 100000000 
time: 113140.000000 	 iteration: 25 	 array size: 100000000 
time: 102826.000000 	 iteration: 26 	 array size: 100000000 
time: 103859.000000 	 iteration: 27 	 array size: 100000000 
time: 101887.000000 	 iteration: 28 	 array size: 100000000 
time: 112141.000000 	 iteration: 29 	 array size: 100000000 
time: 103860.000000 	 iteration: 30 	 array size: 100000000 
