time: 101714 	 iteration: 1 	 array size: 5000000 
time: 83273 	 iteration: 2 	 array size: 5000000 
time: 81251 	 iteration: 3 	 array size: 5000000 
time: 82134 	 iteration: 4 	 array size: 5000000 
time: 83128 	 iteration: 5 	 array size: 5000000 
time: 81919 	 iteration: 6 	 array size: 5000000 
time: 82122 	 iteration: 7 	 array size: 5000000 
time: 81503 	 iteration: 8 	 array size: 5000000 
time: 81923 	 iteration: 9 	 array size: 5000000 
time: 81464 	 iteration: 10 	 array size: 5000000 
time: 80563 	 iteration: 11 	 array size: 5000000 
time: 81084 	 iteration: 12 	 array size: 5000000 
time: 82271 	 iteration: 13 	 array size: 5000000 
time: 82043 	 iteration: 14 	 array size: 5000000 
time: 82620 	 iteration: 15 	 array size: 5000000 
time: 99818 	 iteration: 16 	 array size: 5000000 
time: 81656 	 iteration: 17 	 array size: 5000000 
time: 81278 	 iteration: 18 	 array size: 5000000 
time: 81878 	 iteration: 19 	 array size: 5000000 
time: 81740 	 iteration: 20 	 array size: 5000000 
time: 82687 	 iteration: 21 	 array size: 5000000 
time: 81675 	 iteration: 22 	 array size: 5000000 
time: 81562 	 iteration: 23 	 array size: 5000000 
time: 83097 	 iteration: 24 	 array size: 5000000 
time: 82163 	 iteration: 25 	 array size: 5000000 
time: 84118 	 iteration: 26 	 array size: 5000000 
time: 82253 	 iteration: 27 	 array size: 5000000 
time: 100360 	 iteration: 28 	 array size: 5000000 
time: 84174 	 iteration: 29 	 array size: 5000000 
time: 82093 	 iteration: 30 	 array size: 5000000 
time: 787727 	 iteration: 1 	 array size: 50000000 
time: 806437 	 iteration: 2 	 array size: 50000000 
time: 755501 	 iteration: 3 	 array size: 50000000 
time: 801335 	 iteration: 4 	 array size: 50000000 
time: 743345 	 iteration: 5 	 array size: 50000000 
time: 769568 	 iteration: 6 	 array size: 50000000 
time: 796123 	 iteration: 7 	 array size: 50000000 
time: 753343 	 iteration: 8 	 array size: 50000000 
time: 792885 	 iteration: 9 	 array size: 50000000 
time: 799207 	 iteration: 10 	 array size: 50000000 
time: 808301 	 iteration: 11 	 array size: 50000000 
time: 746496 	 iteration: 12 	 array size: 50000000 
time: 762733 	 iteration: 13 	 array size: 50000000 
time: 758367 	 iteration: 14 	 array size: 50000000 
time: 775856 	 iteration: 15 	 array size: 50000000 
time: 793212 	 iteration: 16 	 array size: 50000000 
time: 803557 	 iteration: 17 	 array size: 50000000 
time: 775031 	 iteration: 18 	 array size: 50000000 
time: 803380 	 iteration: 19 	 array size: 50000000 
time: 720517 	 iteration: 20 	 array size: 50000000 
time: 764352 	 iteration: 21 	 array size: 50000000 
time: 757259 	 iteration: 22 	 array size: 50000000 
time: 753508 	 iteration: 23 	 array size: 50000000 
time: 788984 	 iteration: 24 	 array size: 50000000 
time: 713591 	 iteration: 25 	 array size: 50000000 
time: 800349 	 iteration: 26 	 array size: 50000000 
time: 796203 	 iteration: 27 	 array size: 50000000 
time: 800278 	 iteration: 28 	 array size: 50000000 
time: 810252 	 iteration: 29 	 array size: 50000000 
time: 701710 	 iteration: 30 	 array size: 50000000 
time: 1640646 	 iteration: 1 	 array size: 100000000 
time: 1571462 	 iteration: 2 	 array size: 100000000 
time: 3245900 	 iteration: 3 	 array size: 100000000 
time: 3322412 	 iteration: 4 	 array size: 100000000 
time: 3322705 	 iteration: 5 	 array size: 100000000 
time: 1575771 	 iteration: 6 	 array size: 100000000 
time: 3088799 	 iteration: 7 	 array size: 100000000 
time: 3086834 	 iteration: 8 	 array size: 100000000 
time: 1530462 	 iteration: 9 	 array size: 100000000 
time: 3073252 	 iteration: 10 	 array size: 100000000 
time: 3057468 	 iteration: 11 	 array size: 100000000 
time: 1634817 	 iteration: 12 	 array size: 100000000 
time: 3053028 	 iteration: 13 	 array size: 100000000 
time: 3269949 	 iteration: 14 	 array size: 100000000 
time: 3070593 	 iteration: 15 	 array size: 100000000 
time: 1545840 	 iteration: 16 	 array size: 100000000 
time: 3072149 	 iteration: 17 	 array size: 100000000 
time: 3055420 	 iteration: 18 	 array size: 100000000 
time: 3049787 	 iteration: 19 	 array size: 100000000 
time: 3050078 	 iteration: 20 	 array size: 100000000 
time: 3073412 	 iteration: 21 	 array size: 100000000 
time: 3003396 	 iteration: 22 	 array size: 100000000 
time: 3038997 	 iteration: 23 	 array size: 100000000 
time: 2993217 	 iteration: 24 	 array size: 100000000 
time: 3011071 	 iteration: 25 	 array size: 100000000 
time: 3093094 	 iteration: 26 	 array size: 100000000 
time: 2992566 	 iteration: 27 	 array size: 100000000 
time: 3031620 	 iteration: 28 	 array size: 100000000 
time: 3049068 	 iteration: 29 	 array size: 100000000 
time: 2997182 	 iteration: 30 	 array size: 100000000 
