time: 4696 	 iteration: 1 	 array size: 5000000 
time: 3987 	 iteration: 2 	 array size: 5000000 
time: 4076 	 iteration: 3 	 array size: 5000000 
time: 3878 	 iteration: 4 	 array size: 5000000 
time: 3933 	 iteration: 5 	 array size: 5000000 
time: 3935 	 iteration: 6 	 array size: 5000000 
time: 4083 	 iteration: 7 	 array size: 5000000 
time: 3944 	 iteration: 8 	 array size: 5000000 
time: 3965 	 iteration: 9 	 array size: 5000000 
time: 3959 	 iteration: 10 	 array size: 5000000 
time: 3885 	 iteration: 11 	 array size: 5000000 
time: 3950 	 iteration: 12 	 array size: 5000000 
time: 3956 	 iteration: 13 	 array size: 5000000 
time: 3986 	 iteration: 14 	 array size: 5000000 
time: 3921 	 iteration: 15 	 array size: 5000000 
time: 3947 	 iteration: 16 	 array size: 5000000 
time: 3968 	 iteration: 17 	 array size: 5000000 
time: 3985 	 iteration: 18 	 array size: 5000000 
time: 4056 	 iteration: 19 	 array size: 5000000 
time: 3939 	 iteration: 20 	 array size: 5000000 
time: 4032 	 iteration: 21 	 array size: 5000000 
time: 4052 	 iteration: 22 	 array size: 5000000 
time: 4077 	 iteration: 23 	 array size: 5000000 
time: 4064 	 iteration: 24 	 array size: 5000000 
time: 3942 	 iteration: 25 	 array size: 5000000 
time: 4021 	 iteration: 26 	 array size: 5000000 
time: 3936 	 iteration: 27 	 array size: 5000000 
time: 4109 	 iteration: 28 	 array size: 5000000 
time: 3852 	 iteration: 29 	 array size: 5000000 
time: 3941 	 iteration: 30 	 array size: 5000000 
time: 24274 	 iteration: 1 	 array size: 50000000 
time: 24190 	 iteration: 2 	 array size: 50000000 
time: 24530 	 iteration: 3 	 array size: 50000000 
time: 24512 	 iteration: 4 	 array size: 50000000 
time: 24464 	 iteration: 5 	 array size: 50000000 
time: 24271 	 iteration: 6 	 array size: 50000000 
time: 24894 	 iteration: 7 	 array size: 50000000 
time: 24285 	 iteration: 8 	 array size: 50000000 
time: 24664 	 iteration: 9 	 array size: 50000000 
time: 24311 	 iteration: 10 	 array size: 50000000 
time: 24473 	 iteration: 11 	 array size: 50000000 
time: 24361 	 iteration: 12 	 array size: 50000000 
time: 24649 	 iteration: 13 	 array size: 50000000 
time: 24513 	 iteration: 14 	 array size: 50000000 
time: 24329 	 iteration: 15 	 array size: 50000000 
time: 24298 	 iteration: 16 	 array size: 50000000 
time: 24293 	 iteration: 17 	 array size: 50000000 
time: 24008 	 iteration: 18 	 array size: 50000000 
time: 24660 	 iteration: 19 	 array size: 50000000 
time: 24296 	 iteration: 20 	 array size: 50000000 
time: 26046 	 iteration: 21 	 array size: 50000000 
time: 24236 	 iteration: 22 	 array size: 50000000 
time: 24188 	 iteration: 23 	 array size: 50000000 
time: 24111 	 iteration: 24 	 array size: 50000000 
time: 24593 	 iteration: 25 	 array size: 50000000 
time: 24297 	 iteration: 26 	 array size: 50000000 
time: 24201 	 iteration: 27 	 array size: 50000000 
time: 24333 	 iteration: 28 	 array size: 50000000 
time: 24250 	 iteration: 29 	 array size: 50000000 
time: 24327 	 iteration: 30 	 array size: 50000000 
time: 47029 	 iteration: 1 	 array size: 100000000 
time: 47010 	 iteration: 2 	 array size: 100000000 
time: 47314 	 iteration: 3 	 array size: 100000000 
time: 47892 	 iteration: 4 	 array size: 100000000 
time: 47497 	 iteration: 5 	 array size: 100000000 
time: 47349 	 iteration: 6 	 array size: 100000000 
time: 48139 	 iteration: 7 	 array size: 100000000 
time: 47745 	 iteration: 8 	 array size: 100000000 
time: 46721 	 iteration: 9 	 array size: 100000000 
time: 47772 	 iteration: 10 	 array size: 100000000 
time: 47672 	 iteration: 11 	 array size: 100000000 
time: 46784 	 iteration: 12 	 array size: 100000000 
time: 47517 	 iteration: 13 	 array size: 100000000 
time: 47323 	 iteration: 14 	 array size: 100000000 
time: 47665 	 iteration: 15 	 array size: 100000000 
time: 47181 	 iteration: 16 	 array size: 100000000 
time: 47616 	 iteration: 17 	 array size: 100000000 
time: 47968 	 iteration: 18 	 array size: 100000000 
time: 47923 	 iteration: 19 	 array size: 100000000 
time: 47837 	 iteration: 20 	 array size: 100000000 
time: 47300 	 iteration: 21 	 array size: 100000000 
time: 47361 	 iteration: 22 	 array size: 100000000 
time: 47992 	 iteration: 23 	 array size: 100000000 
time: 47655 	 iteration: 24 	 array size: 100000000 
time: 47341 	 iteration: 25 	 array size: 100000000 
time: 47643 	 iteration: 26 	 array size: 100000000 
time: 47900 	 iteration: 27 	 array size: 100000000 
time: 47702 	 iteration: 28 	 array size: 100000000 
time: 47209 	 iteration: 29 	 array size: 100000000 
time: 47988 	 iteration: 30 	 array size: 100000000 
